Sequence_ID,Length,GC_Content (%),AT_Content (%)
ref|NR_117835.1,1469,55.82,44.18
ref|NR_044497.1,1470,56.39,43.61
gb|KU042972.2,1468,56.61,43.39
ref|NR_108580.1,1469,56.64,43.36
gb|JQ396615.1,1495,56.45,43.55
emb|AJ585985.1,1490,56.51,43.49
ref|NR_137420.1,1466,57.78,42.22
gb|JQ608330.2,1466,57.78,42.22
gb|KF441585.1,1494,56.63,43.37
gb|KU758888.1,1455,56.77,43.23
gb|KT756665.1,1470,55.99,44.01
gb|KF441601.1,1492,56.23,43.77
gb|HQ876598.1,1502,56.46,43.54
gb|JQ660099.1,1442,56.66,43.34
gb|JN082263.1,1455,56.56,43.44
gb|KP128920.1,1445,56.75,43.25
ref|NR_043282.1,1453,56.64,43.36
ref|NR_043155.1,1459,56.27,43.73
gb|EU182830.1,1364,56.3,43.7
ref|NR_043156.1,1459,55.93,44.07
gb|AY743261.1,1459,55.79,44.21
gb|KT581022.1,1467,56.1,43.9
ref|NR_043243.1,1406,56.47,43.53
gb|AY876379.1,1407,56.36,43.64
ref|NR_116158.1,1459,55.52,44.48
gb|AF289089.1|AF289089,1455,55.53,44.47
ref|NR_026401.1,1466,55.59,44.41
emb|AM900794.1,1494,55.49,44.51
gb|FJ655840.1,1462,55.2,44.8
gb|KX946495.1,1471,56.36,43.64
gb|KX494399.1,1423,56.36,43.64
gb|EU718060.1,1384,56.5,43.5
gb|KX377873.1,1416,56.21,43.79
gb|KU236369.1,1443,55.44,44.56
gb|KX263319.1,1425,56.35,43.65
gb|KC771029.1,1449,55.97,44.03
ref|NR_134718.1,1459,55.93,44.07
gb|KX350162.1,1443,56.13,43.87
ref|NR_109419.1,1439,56.29,43.71
gb|KM093731.1,1469,56.02,43.98
gb|KT448814.1,1402,55.71,44.29
gb|KT448816.1,1430,55.59,44.41
gb|KT448815.1,1420,55.77,44.23
ref|NR_146665.1,1451,55.41,44.59
gb|KF790633.1,1451,55.41,44.59
gb|KT278763.1,1529,55.53,44.47
gb|JQ511861.1,1361,55.47,44.53
gb|DQ003317.1,1406,55.62,44.38
gb|KT278764.1,1498,56.01,43.99
gb|KU992913.1,1497,55.64,44.36
ref|NR_146666.1,1448,55.73,44.27
gb|KC771032.1,1448,55.73,44.27
dbj|D78365.1|DEI16SRRNA,1327,55.69,44.31
gb|KU758887.1,1434,55.65,44.35
ref|NR_026399.1,1467,55.76,44.24
gb|KJ639011.1,1466,55.66,44.34
gb|KP128922.1,1445,55.64,44.36
gb|KU758885.1,1448,56.22,43.78
gb|KJ685845.2,1469,56.3,43.7
gb|KY053197.1,1323,55.4,44.6
ref|NR_029004.1,1467,55.62,44.38
gb|DQ341427.1,1472,54.76,45.24
gb|EU285374.3,1475,55.93,44.07
ref|NR_043473.1,1458,55.76,44.24
gb|KP790024.1,1405,55.94,44.06
gb|EF182717.1,1377,55.85,44.15
ref|NR_108113.1,1424,55.48,44.52
dbj|AB264137.1,1405,55.66,44.34
gb|EU240400.1,1331,55.67,44.33
emb|FM160945.1,1337,55.35,44.65
ref|NR_118357.1,1365,55.82,44.18
gb|KX886830.1,1502,55.59,44.41
gb|KY077151.1,1346,55.65,44.35
gb|KU921553.1,1461,55.72,44.28
gb|EU294408.1,1434,55.44,44.56
emb|HE798204.1,1403,55.67,44.33
emb|LT602923.1,1411,55.85,44.15
gb|JX483748.1,1285,55.41,44.59
dbj|LC148307.1,1453,55.33,44.67
gb|KU758886.1,1463,55.43,44.57
emb|HE863769.1,1376,55.52,44.48
gb|KP790023.1,1386,55.05,44.95
ref|NR_043472.1,1459,55.24,44.76
gb|EU182872.1,1362,55.36,44.64
ref|NR_146689.1,1451,55.55,44.45
dbj|LC148306.1,1451,55.55,44.45
dbj|AB022911.1,1444,55.19,44.81
